用戶ID,日期,當日天氣,心情指數,心情小語
3,2024-11-01,寒冷,2,有點疲憊，但努力中。
3,2024-11-02,晴天,8,遇到點挫折，但還可以。
3,2024-11-03,陰天,3,想要休息的一天。
3,2024-11-04,陰天,1,情緒起伏比較大。
3,2024-11-05,晴天,10,今天有些小確幸。
3,2024-11-06,酷熱,10,非常滿足的一天。
3,2024-11-07,小雨,3,遇到點挫折，但還可以。
3,2024-11-08,小雨,5,想要休息的一天。
3,2024-11-09,小雨,2,今天有些小確幸。
3,2024-11-10,晴天,2,充滿能量的一天！
3,2024-11-11,晴天,3,充滿能量的一天！
3,2024-11-12,雷陣雨,5,遇到點挫折，但還可以。
3,2024-11-13,小雨,5,充滿能量的一天！
3,2024-11-14,小雨,6,非常滿足的一天。
3,2024-11-15,雷陣雨,6,情緒起伏比較大。
3,2024-11-16,多雲,6,非常滿足的一天。
3,2024-11-17,陰天,6,有點煩躁，但還能調適。
3,2024-11-18,大雨,7,非常滿足的一天。
3,2024-11-19,酷熱,10,心情超級好！
3,2024-11-20,大雨,8,非常滿足的一天。
3,2024-11-21,大雨,9,有點煩躁，但還能調適。
3,2024-11-22,晴天,4,想要休息的一天。
3,2024-11-23,雷陣雨,8,平平淡淡的一天。
3,2024-11-24,酷熱,3,有點疲憊，但努力中。
3,2024-11-25,大雨,1,今天有些小確幸。
3,2024-11-26,陰天,9,遇到點挫折，但還可以。
3,2024-11-27,雷陣雨,9,平平淡淡的一天。
3,2024-11-28,雷陣雨,1,非常滿足的一天。
3,2024-11-29,寒冷,4,想要休息的一天。
3,2024-11-30,陰天,6,遇到點挫折，但還可以。
3,2024-12-01,酷熱,1,充滿能量的一天！
3,2024-12-02,小雨,9,想要休息的一天。
3,2024-12-03,多雲,7,遇到點挫折，但還可以。
3,2024-12-04,酷熱,3,有點煩躁，但還能調適。
3,2024-12-05,雷陣雨,7,今天有些小確幸。
3,2024-12-06,酷熱,10,心情超級好！
3,2024-12-07,寒冷,1,平平淡淡的一天。
3,2024-12-08,雷陣雨,3,遇到點挫折，但還可以。
3,2024-12-09,大雨,7,有點疲憊，但努力中。
3,2024-12-10,多雲,9,今天有些小確幸。
3,2024-12-11,小雨,3,情緒起伏比較大。
3,2024-12-12,雷陣雨,6,有點煩躁，但還能調適。
3,2024-12-13,陰天,4,有點疲憊，但努力中。
3,2024-12-14,雷陣雨,6,情緒起伏比較大。
3,2024-12-15,雷陣雨,4,非常滿足的一天。
3,2024-12-16,雷陣雨,10,非常滿足的一天。
3,2024-12-17,晴天,2,平平淡淡的一天。
3,2024-12-18,小雨,9,非常滿足的一天。
3,2024-12-19,多雲,8,心情超級好！
3,2024-12-20,大雨,2,充滿能量的一天！
3,2024-12-21,小雨,3,有點疲憊，但努力中。
3,2024-12-22,晴天,7,心情超級好！
3,2024-12-23,晴天,3,有點疲憊，但努力中。
3,2024-12-24,寒冷,3,情緒起伏比較大。
3,2024-12-25,雷陣雨,8,心情超級好！
3,2024-12-26,酷熱,5,遇到點挫折，但還可以。
3,2024-12-27,寒冷,5,充滿能量的一天！
3,2024-12-28,小雨,4,有點煩躁，但還能調適。
3,2024-12-29,雷陣雨,3,想要休息的一天。
3,2024-12-30,晴天,7,有點煩躁，但還能調適。
3,2024-12-31,陰天,1,情緒起伏比較大。
3,2025-01-01,寒冷,2,平平淡淡的一天。
3,2025-01-02,小雨,5,充滿能量的一天！
3,2025-01-03,酷熱,1,有點疲憊，但努力中。
3,2025-01-04,雷陣雨,3,充滿能量的一天！
3,2025-01-05,晴天,3,今天有些小確幸。
3,2025-01-06,陰天,6,情緒起伏比較大。
3,2025-01-07,寒冷,5,情緒起伏比較大。
3,2025-01-08,小雨,7,心情超級好！
3,2025-01-09,大雨,8,有點煩躁，但還能調適。
3,2025-01-10,寒冷,3,非常滿足的一天。
3,2025-01-11,陰天,6,非常滿足的一天。
3,2025-01-12,多雲,5,充滿能量的一天！
3,2025-01-13,大雨,7,心情超級好！
3,2025-01-14,晴天,5,心情超級好！
3,2025-01-15,雷陣雨,9,情緒起伏比較大。
3,2025-01-16,小雨,5,想要休息的一天。
3,2025-01-17,晴天,6,非常滿足的一天。
3,2025-01-18,酷熱,5,心情超級好！
3,2025-01-19,大雨,2,遇到點挫折，但還可以。
3,2025-01-20,雷陣雨,10,心情超級好！
3,2025-01-21,雷陣雨,7,非常滿足的一天。
3,2025-01-22,酷熱,10,想要休息的一天。
3,2025-01-23,雷陣雨,4,心情超級好！
3,2025-01-24,寒冷,3,平平淡淡的一天。
3,2025-01-25,多雲,3,情緒起伏比較大。
3,2025-01-26,晴天,2,非常滿足的一天。
3,2025-01-27,陰天,9,想要休息的一天。
3,2025-01-28,大雨,5,有點煩躁，但還能調適。
3,2025-01-29,晴天,5,有點疲憊，但努力中。
3,2025-01-30,雷陣雨,9,今天有些小確幸。
3,2025-01-31,小雨,5,平平淡淡的一天。
3,2025-02-01,陰天,2,遇到點挫折，但還可以。
3,2025-02-02,晴天,9,有點疲憊，但努力中。
3,2025-02-03,酷熱,7,平平淡淡的一天。
3,2025-02-04,大雨,1,非常滿足的一天。
3,2025-02-05,陰天,1,平平淡淡的一天。
3,2025-02-06,陰天,5,充滿能量的一天！
3,2025-02-07,晴天,4,情緒起伏比較大。
3,2025-02-08,寒冷,7,想要休息的一天。
3,2025-02-09,寒冷,1,充滿能量的一天！
3,2025-02-10,多雲,1,心情超級好！
3,2025-02-11,多雲,7,平平淡淡的一天。
3,2025-02-12,多雲,3,有點煩躁，但還能調適。
3,2025-02-13,陰天,6,平平淡淡的一天。
3,2025-02-14,陰天,10,充滿能量的一天！
3,2025-02-15,寒冷,3,想要休息的一天。
3,2025-02-16,寒冷,3,心情超級好！
3,2025-02-17,多雲,7,有點煩躁，但還能調適。
3,2025-02-18,大雨,7,非常滿足的一天。
3,2025-02-19,寒冷,5,今天有些小確幸。
3,2025-02-20,小雨,8,有點疲憊，但努力中。
3,2025-02-21,晴天,4,平平淡淡的一天。
3,2025-02-22,多雲,6,有點煩躁，但還能調適。
3,2025-02-23,大雨,1,充滿能量的一天！
3,2025-02-24,寒冷,1,情緒起伏比較大。
3,2025-02-25,大雨,6,有點疲憊，但努力中。
3,2025-02-26,多雲,7,充滿能量的一天！
3,2025-02-27,晴天,1,充滿能量的一天！
3,2025-02-28,陰天,8,想要休息的一天。
3,2025-03-01,陰天,3,有點煩躁，但還能調適。
3,2025-03-02,雷陣雨,9,今天有些小確幸。
3,2025-03-03,陰天,3,非常滿足的一天。
3,2025-03-04,雷陣雨,9,有點煩躁，但還能調適。
3,2025-03-05,多雲,7,遇到點挫折，但還可以。
3,2025-03-06,多雲,10,想要休息的一天。
3,2025-03-07,陰天,6,有點疲憊，但努力中。
3,2025-03-08,大雨,3,心情超級好！
3,2025-03-09,寒冷,1,心情超級好！
3,2025-03-10,寒冷,6,心情超級好！
3,2025-03-11,多雲,6,充滿能量的一天！
3,2025-03-12,酷熱,8,今天有些小確幸。
3,2025-03-13,大雨,1,平平淡淡的一天。
3,2025-03-14,雷陣雨,8,平平淡淡的一天。
3,2025-03-15,大雨,10,情緒起伏比較大。
3,2025-03-16,酷熱,5,今天有些小確幸。
3,2025-03-17,雷陣雨,3,今天有些小確幸。
3,2025-03-18,小雨,2,有點疲憊，但努力中。
3,2025-03-19,大雨,4,有點疲憊，但努力中。
3,2025-03-20,大雨,2,今天有些小確幸。
3,2025-03-21,酷熱,9,非常滿足的一天。
3,2025-03-22,雷陣雨,1,想要休息的一天。
3,2025-03-23,大雨,6,遇到點挫折，但還可以。
3,2025-03-24,雷陣雨,1,有點煩躁，但還能調適。
3,2025-03-25,晴天,1,有點疲憊，但努力中。
3,2025-03-26,酷熱,4,想要休息的一天。
3,2025-03-27,晴天,3,情緒起伏比較大。
3,2025-03-28,酷熱,6,充滿能量的一天！
3,2025-03-29,陰天,5,想要休息的一天。
3,2025-03-30,酷熱,8,心情超級好！
3,2025-03-31,小雨,4,心情超級好！
3,2025-04-01,陰天,7,今天有些小確幸。
3,2025-04-02,晴天,1,情緒起伏比較大。
3,2025-04-03,酷熱,3,有點煩躁，但還能調適。
3,2025-04-04,多雲,2,情緒起伏比較大。
3,2025-04-05,多雲,8,平平淡淡的一天。
3,2025-04-06,晴天,5,心情超級好！
3,2025-04-07,大雨,1,充滿能量的一天！
3,2025-04-08,小雨,9,心情超級好！
3,2025-04-09,寒冷,3,今天有些小確幸。
3,2025-04-10,晴天,5,有點疲憊，但努力中。
3,2025-04-11,雷陣雨,10,平平淡淡的一天。
3,2025-04-12,小雨,5,情緒起伏比較大。
3,2025-04-13,寒冷,8,想要休息的一天。
3,2025-04-14,小雨,2,有點疲憊，但努力中。
3,2025-04-15,陰天,5,平平淡淡的一天。
3,2025-04-16,雷陣雨,2,非常滿足的一天。
3,2025-04-17,酷熱,10,情緒起伏比較大。
3,2025-04-18,小雨,1,想要休息的一天。
3,2025-04-19,酷熱,5,非常滿足的一天。
3,2025-04-20,小雨,3,有點疲憊，但努力中。
3,2025-04-21,小雨,2,充滿能量的一天！
3,2025-04-22,大雨,2,心情超級好！
3,2025-04-23,酷熱,9,有點煩躁，但還能調適。
3,2025-04-24,寒冷,7,有點疲憊，但努力中。
3,2025-04-25,多雲,4,有點疲憊，但努力中。
3,2025-04-26,晴天,8,情緒起伏比較大。
3,2025-04-27,雷陣雨,10,有點煩躁，但還能調適。
3,2025-04-28,晴天,8,有點疲憊，但努力中。
3,2025-04-29,小雨,2,有點疲憊，但努力中。
