用戶ID,日期,當日天氣,心情指數,心情小語
1,2024-11-01,晴天,5,平平淡淡的一天。
1,2024-11-02,寒冷,8,平平淡淡的一天。
1,2024-11-03,多雲,1,平平淡淡的一天。
1,2024-11-04,酷熱,6,平平淡淡的一天。
1,2024-11-05,小雨,10,有點煩躁，但還能調適。
1,2024-11-06,多雲,8,充滿能量的一天！
1,2024-11-07,晴天,2,今天有些小確幸。
1,2024-11-08,小雨,6,心情超級好！
1,2024-11-09,晴天,8,遇到點挫折，但還可以。
1,2024-11-10,酷熱,4,想要休息的一天。
1,2024-11-11,大雨,3,今天有些小確幸。
1,2024-11-12,小雨,10,非常滿足的一天。
1,2024-11-13,寒冷,2,非常滿足的一天。
1,2024-11-14,大雨,2,今天有些小確幸。
1,2024-11-15,晴天,4,有點疲憊，但努力中。
1,2024-11-16,酷熱,5,充滿能量的一天！
1,2024-11-17,雷陣雨,8,今天有些小確幸。
1,2024-11-18,晴天,1,充滿能量的一天！
1,2024-11-19,雷陣雨,10,有點疲憊，但努力中。
1,2024-11-20,小雨,3,非常滿足的一天。
1,2024-11-21,晴天,7,有點煩躁，但還能調適。
1,2024-11-22,寒冷,7,想要休息的一天。
1,2024-11-23,酷熱,9,遇到點挫折，但還可以。
1,2024-11-24,寒冷,9,有點煩躁，但還能調適。
1,2024-11-25,晴天,7,有點煩躁，但還能調適。
1,2024-11-26,寒冷,4,今天有些小確幸。
1,2024-11-27,雷陣雨,3,想要休息的一天。
1,2024-11-28,大雨,2,有點疲憊，但努力中。
1,2024-11-29,寒冷,4,想要休息的一天。
1,2024-11-30,雷陣雨,2,想要休息的一天。
1,2024-12-01,雷陣雨,4,有點煩躁，但還能調適。
1,2024-12-02,寒冷,4,心情超級好！
1,2024-12-03,酷熱,7,想要休息的一天。
1,2024-12-04,小雨,6,充滿能量的一天！
1,2024-12-05,大雨,2,有點疲憊，但努力中。
1,2024-12-06,雷陣雨,7,有點疲憊，但努力中。
1,2024-12-07,寒冷,9,有點疲憊，但努力中。
1,2024-12-08,小雨,5,遇到點挫折，但還可以。
1,2024-12-09,晴天,1,有點煩躁，但還能調適。
1,2024-12-10,晴天,4,平平淡淡的一天。
1,2024-12-11,多雲,6,平平淡淡的一天。
1,2024-12-12,大雨,8,情緒起伏比較大。
1,2024-12-13,雷陣雨,9,想要休息的一天。
1,2024-12-14,小雨,10,有點煩躁，但還能調適。
1,2024-12-15,寒冷,10,有點煩躁，但還能調適。
1,2024-12-16,小雨,1,想要休息的一天。
1,2024-12-17,寒冷,2,心情超級好！
1,2024-12-18,酷熱,4,心情超級好！
1,2024-12-19,酷熱,3,平平淡淡的一天。
1,2024-12-20,寒冷,5,有點煩躁，但還能調適。
1,2024-12-21,多雲,3,情緒起伏比較大。
1,2024-12-22,小雨,7,遇到點挫折，但還可以。
1,2024-12-23,寒冷,9,今天有些小確幸。
1,2024-12-24,雷陣雨,6,情緒起伏比較大。
1,2024-12-25,寒冷,8,心情超級好！
1,2024-12-26,陰天,10,充滿能量的一天！
1,2024-12-27,小雨,4,有點煩躁，但還能調適。
1,2024-12-28,晴天,8,平平淡淡的一天。
1,2024-12-29,寒冷,7,今天有些小確幸。
1,2024-12-30,大雨,9,今天有些小確幸。
1,2024-12-31,小雨,2,心情超級好！
1,2025-01-01,雷陣雨,2,有點煩躁，但還能調適。
1,2025-01-02,小雨,3,非常滿足的一天。
1,2025-01-03,小雨,10,有點疲憊，但努力中。
1,2025-01-04,雷陣雨,10,有點煩躁，但還能調適。
1,2025-01-05,酷熱,5,充滿能量的一天！
1,2025-01-06,陰天,9,充滿能量的一天！
1,2025-01-07,酷熱,7,有點疲憊，但努力中。
1,2025-01-08,大雨,3,有點疲憊，但努力中。
1,2025-01-09,寒冷,5,非常滿足的一天。
1,2025-01-10,大雨,6,遇到點挫折，但還可以。
1,2025-01-11,酷熱,5,充滿能量的一天！
1,2025-01-12,大雨,2,心情超級好！
1,2025-01-13,陰天,10,今天有些小確幸。
1,2025-01-14,雷陣雨,1,想要休息的一天。
1,2025-01-15,晴天,3,非常滿足的一天。
1,2025-01-16,晴天,2,情緒起伏比較大。
1,2025-01-17,小雨,3,遇到點挫折，但還可以。
1,2025-01-18,酷熱,8,非常滿足的一天。
1,2025-01-19,陰天,10,有點煩躁，但還能調適。
1,2025-01-20,小雨,3,想要休息的一天。
1,2025-01-21,寒冷,1,有點疲憊，但努力中。
1,2025-01-22,酷熱,4,非常滿足的一天。
1,2025-01-23,晴天,6,心情超級好！
1,2025-01-24,寒冷,2,心情超級好！
1,2025-01-25,晴天,5,平平淡淡的一天。
1,2025-01-26,雷陣雨,10,今天有些小確幸。
1,2025-01-27,多雲,9,平平淡淡的一天。
1,2025-01-28,酷熱,7,非常滿足的一天。
1,2025-01-29,大雨,9,平平淡淡的一天。
1,2025-01-30,寒冷,1,今天有些小確幸。
1,2025-01-31,多雲,7,情緒起伏比較大。
